TAXON,ORDER,FAMILY,HYP,LOP,AL
Ammotragus europaeus,Artiodactyla,Bovidae,3,2,0
Bison degiulii,Artiodactyla,Bovidae,3,2,0
Bison indet.,Artiodactyla,Bovidae,3,2,0
Bison menneri,Artiodactyla,Bovidae,3,2,0
Bison priscus,Artiodactyla,Bovidae,3,2,0
Bison schoetensacki,Artiodactyla,Bovidae,3,2,0
Bison schoetensacki/priscus,Artiodactyla,Bovidae,3,2,0
Bison voigtstedtensis,Artiodactyla,Bovidae,3,2,0
Bos primigenius,Artiodactyla,Bovidae,3,2,0
Bovidae indet. (small),Artiodactyla,Bovidae,2.5,2,0
Bubalus murrensis,Artiodactyla,Bovidae,3,2,0
Capra baetica,Artiodactyla,Bovidae,3,2,0
Capra indet.,Artiodactyla,Bovidae,3,2,0
Gallogoral meneghinii,Artiodactyla,Bovidae,3,2,0
Gazella borbonica,Artiodactyla,Bovidae,3,2,0
Gazella bouvrainae,Artiodactyla,Bovidae,2,2,0
Gazella indet.,Artiodactyla,Bovidae,2.5,2,0
Gazellospira indet.,Artiodactyla,Bovidae,3,2,0
Gazellospira torticornis,Artiodactyla,Bovidae,3,2,0
Hemibos galerianus,Artiodactyla,Bovidae,3,2,0
Hemibos gracilis,Artiodactyla,Bovidae,3,2,0
Hemitragus albus/Capra alba,Artiodactyla,Bovidae,3,2,0
Hemitragus bonali,Artiodactyla,Bovidae,3,2,0
Hemitragus indet.,Artiodactyla,Bovidae,3,2,0
Hemitragus jemlahicus,Artiodactyla,Bovidae,3,2,0
Hemitragus orientalis,Artiodactyla,Bovidae,3,2,0
Leptobos elatus,Artiodactyla,Bovidae,3,2,0
Leptobos etruscus,Artiodactyla,Bovidae,3,2,0
Leptobos furtivus,Artiodactyla,Bovidae,3,2,0
Leptobos indet.,Artiodactyla,Bovidae,3,2,0
Leptobos stenometopon,Artiodactyla,Bovidae,3,2,0
Leptobos vallisarni,Artiodactyla,Bovidae,3,2,0
Megalovis latifrons,Artiodactyla,Bovidae,3,2,0
Ovis ammon antiqua,Artiodactyla,Bovidae,3,2,0
Ovis antiqua,Artiodactyla,Bovidae,3,2,0
Ovis indet.,Artiodactyla,Bovidae,3,2,0
Parastrepsiceros koufosi,Artiodactyla,Bovidae,2,2,0
Pliotragus ardeus,Artiodactyla,Bovidae,2,2,0
Pontoceros ambiguus,Artiodactyla,Bovidae,1,2,1
Praeovibos indet.,Artiodactyla,Bovidae,3,2,0
Praeovibos priscus,Artiodactyla,Bovidae,3,2,0
Praeovibos priscus/Ovibos moschatus,Artiodactyla,Bovidae,3,2,0
Procamptoceras brivatense,Artiodactyla,Bovidae,2,2,0
Soergelia brigittae,Artiodactyla,Bovidae,3,2,0
Soergelia elisabethae,Artiodactyla,Bovidae,3,2,0
Soergelia indet.,Artiodactyla,Bovidae,3,2,0
Soergelia minor,Artiodactyla,Bovidae,3,2,0
Tragospira pannonica,Artiodactyla,Bovidae,2,2,1
Arvernoceros verestchagini,Artiodactyla,Cervidae,1,2,1
Capreolus capreolus,Artiodactyla,Cervidae,1,2,1
Capreolus cusanoides,Artiodactyla,Cervidae,1,2,1
Capreolus indet.,Artiodactyla,Cervidae,1,2,1
Capreolus suessenbornensis,Artiodactyla,Cervidae,1,2,1
Cervalces carnutorum,Artiodactyla,Cervidae,1,2,1
Cervalces latifrons,Artiodactyla,Cervidae,1,2,1
Cervidae indet. (small),Artiodactyla,Cervidae,1.5,2,0.5
Cervus elaphus,Artiodactyla,Cervidae,2,2,1
Cervus indet.,Artiodactyla,Cervidae,2,2,1
Croizetoceros ramosus,Artiodactyla,Cervidae,1,2,1
Dama clactoniana,Artiodactyla,Cervidae,1,2,1
Dama dama,Artiodactyla,Cervidae,1,2,1
Dama indet.,Artiodactyla,Cervidae,1,2,1
Dama roberti,Artiodactyla,Cervidae,1,2,1
Dama vallonetensis,Artiodactyla,Cervidae,1,2,1
Eucladoceros falconeri,Artiodactyla,Cervidae,1,2,1
Eucladoceros giulii,Artiodactyla,Cervidae,1,2,1
Eucladoceros indet.,Artiodactyla,Cervidae,1,2,1
Eucladoceros senezensis,Artiodactyla,Cervidae,1,2,1
Eucladoceros tegulensis,Artiodactyla,Cervidae,1,2,1
Haploidoceros mediterraneus,Artiodactyla,Cervidae,1,2,1
Libralces gallicus,Artiodactyla,Cervidae,1,2,1
Megacerini indet.,Artiodactyla,Cervidae,2,2,0
Megaloceros giganteus,Artiodactyla,Cervidae,2,2,0
Megaloceros indet.,Artiodactyla,Cervidae,2,2,0
Megaloceros novocarthaginiensis,Artiodactyla,Cervidae,2,2,0
Megaloceros savini,Artiodactyla,Cervidae,2,2,0
Praemegaceros dawkinsi,Artiodactyla,Cervidae,2,2,0
Praemegaceros indet.,Artiodactyla,Cervidae,2,2,0
Praemegaceros obscurus,Artiodactyla,Cervidae,2,2,0
Praemegaceros solilhacus,Artiodactyla,Cervidae,2,2,0
Praemegaceros verticornis,Artiodactyla,Cervidae,2,2,0
Pseudodama eurygonos,Artiodactyla,Cervidae,1,2,1
Pseudodama farnetensis,Artiodactyla,Cervidae,1,2,1
Pseudodama indet.,Artiodactyla,Cervidae,1,2,1
Pseudodama lyra,Artiodactyla,Cervidae,1,2,1
Pseudodama nestii,Artiodactyla,Cervidae,1,2,1
Pseudodama nestii vallonnetensis,Artiodactyla,Cervidae,1,2,1
Pseudodama rhenana/Metacervoceros rhenanus/Cervus rhenanus,Artiodactyla,Cervidae,1,2,1
Pseudodama vallonetensis,Artiodactyla,Cervidae,1,2,1
Rangifer indet.,Artiodactyla,Cervidae,1,2,0
Rangifer tarandus,Artiodactyla,Cervidae,1,2,0
Mitilanotherium indet.,Artiodactyla,Giraffidae,1,2,1
Mitilanotherium martinii,Artiodactyla,Giraffidae,1,2,1
Hippopotamus amphibius,Artiodactyla,Hippopotamidae,2,1,0
Hippopotamus antiquus,Artiodactyla,Hippopotamidae,2,1,0
Hippopotamus indet.,Artiodactyla,Hippopotamidae,2,1,0
Potamochoerus magnus,Artiodactyla,Suidae,1,0,0
Sus arvernensis,Artiodactyla,Suidae,1,0,0
Sus indet.,Artiodactyla,Suidae,1,0,0
Sus scrofa,Artiodactyla,Suidae,1,0,0
Sus strozzii,Artiodactyla,Suidae,1,0,0
Equus achenheimensis,Perissodactyla,Equidae,3,2,0
Equus altidens,Perissodactyla,Equidae,3,2,0
Equus apolloniensis,Perissodactyla,Equidae,3,2,0
Equus bressanus,Perissodactyla,Equidae,3,2,0
Equus ferus,Perissodactyla,Equidae,3,2,0
Equus ferus mosbachensis,Perissodactyla,Equidae,3,2,0
Equus hydruntinus,Perissodactyla,Equidae,3,2,0
Equus indet.,Perissodactyla,Equidae,3,2,0
Equus livenzovensis,Perissodactyla,Equidae,3,2,0
Equus major,Perissodactyla,Equidae,3,2,0
Equus mosbachensis,Perissodactyla,Equidae,3,2,0
Equus stenonis,Perissodactyla,Equidae,3,2,0
Equus suessenbornensis,Perissodactyla,Equidae,3,2,0
Equus wuesti,Perissodactyla,Equidae,3,2,0
Hipparion indet.,Perissodactyla,Equidae,3,2,0
Coelodonta antiquitatis,Perissodactyla,Rhinocerotidae,3,2,0
Stephanorhinus elatus,Perissodactyla,Rhinocerotidae,1,1,1
Stephanorhinus etruscus,Perissodactyla,Rhinocerotidae,1,1,1
Stephanorhinus etruscus/hundsheimensis,Perissodactyla,Rhinocerotidae,1,1,1
Stephanorhinus hemitoechus,Perissodactyla,Rhinocerotidae,1,1,1
Stephanorhinus hundsheimensis,Perissodactyla,Rhinocerotidae,1,1,1
Stephanorhinus indet.,Perissodactyla,Rhinocerotidae,1,1,1
Stephanorhinus kirchbergensis,Perissodactyla,Rhinocerotidae,1,1,1
Macaca florentina,Primates,Cercopithecidae,1,0,0
Macaca indet.,Primates,Cercopithecidae,1,0,0
Macaca sylvana,Primates,Cercopithecidae,1,0,0
Macaca sylvanus,Primates,Cercopithecidae,1,0,0
Paradolichopithecus arvernensis,Primates,Cercopithecidae,1,0,0
Theropithecus oswaldi,Primates,Cercopithecidae,1,0,0
Elephantidae indet.,Proboscidea,Elephantidae,3,0,0
Mammuthus indet.,Proboscidea,Elephantidae,3,0,0
Mammuthus intermedius,Proboscidea,Elephantidae,3,0,0
Mammuthus meridionalis,Proboscidea,Elephantidae,3,0,0
Mammuthus trogontherii,Proboscidea,Elephantidae,3,0,0
Palaeoloxodon antiquus,Proboscidea,Elephantidae,3,0,0
Anancus arvernensis,Proboscidea,Gomphotheriidae,1,0,0
