Site,Formation/Sequence,Latitude,Longitude,Min_Age,Max_Age,Mean_Age,FracWoodyCover_Mean,FracWoodyCover_SD,Estimate_Sample_Size,Derived_From
Amboseli,Ol Tukai Beds,-2.6,37.3,0.031,0.049,0.04,0.1116017,0,1,Literature description
Apak,Nachukui Fm,2.9,36.05,4.2,5,4.6,0.4109927,0.1206218,4,Soil carbon isotopes
Aramis,Sagantole Fm,10.3,40.3,4.4,4.4,4.4,0.1847268,0.1005839,44,Soil carbon isotopes
Asa Koma,Adu-Asa Fm,10.3,40.26,5.54,5.77,5.655,0.3915354,0.08475633,9,Soil carbon isotopes
Asbole,Busidima Fm,11.05,40.67,0.6,0.8,0.7,0.3730647,0.0809069,12,Soil carbon isotopes
Bed I,Olduvai Gorge,-2.98,35.3,1.8,2.038,1.919,0.219032,0,1,Soil carbon isotopes
Bed III,Olduvai Gorge,-2.98,35.3,0.8,1.2,1,0.1087013,0.04531161,5,Soil carbon isotopes
Bed IV,Olduvai Gorge,-2.98,35.3,0.6,0.8,0.7,0.1433724,0.03467374,5,Soil carbon isotopes
Boolihinan,Busidima Fm,11.15,40.32,1.5,1.7,1.6,0.3175104,0.1017341,19,Soil carbon isotopes
Chari,Koobi Fora Fm,4,36.37,0.75,1.38,1.065,0.1939663,0.09166465,5,Soil carbon isotopes
Chemeron Magabet,Chemeron Fm,-0.57,35.95,4.3,5.3,4.8,0.52607,0,1,Soil carbon isotopes
Daka,Bouri Fm,10.28,40.53,0.966,1.04,1.003,0.1213206,0.02057242,4,Soil carbon isotopes
Dark Paleosol,Busidima Fm,11.15,40.32,0.9,1.4,1.15,0.2682856,0.1096401,17,Soil carbon isotopes
Denen Dora,Hadar Fm,11.1,40.58,3.12,3.24,3.18,0.5946648,0,1,Soil carbon isotopes
Garba IV,Melka Kunture,9.56,39.11,0.8,1,0.9,0.1,0,1,Literature description
Gombore I,Melka Kunture,9.56,39.11,1.6,1.7,1.65,0.3,0,1,Literature description
Gurumaha,Lee Adoyta Basin,11.4,40.9,2.75,2.82,2.785,0.4,0,1,Literature description
GvJm22 Pleis,Lukenya Hill,-1.47,37.08,0.026,0.046,0.036,0.1116017,0,1,Literature description
Hata,Bouri Fm,10.28,40.53,2.5,2.5,2.5,0.2,0,1,Literature description
Ibole,Wembere-Manonga Fm,-3.8,33.58,5,5.5,5.25,0.5,0,1,Literature description
Kada Hadar,Hadar Fm,11.1,40.58,2.95,3.12,3.035,0.4839592,0.0460207,5,Soil carbon isotopes
Kaitio,Nachukui Fm,2.9,36.05,1.55,1.87,1.71,0.3333468,0.057958,2,Soil carbon isotopes
Kaiyumung,Nachukui Fm,2.9,36.05,3,3.5,3.25,0.4218172,0.08453272,21,Soil carbon isotopes
Kalochoro,Nachukui Fm,2.9,36.05,1.87,2.33,2.1,0.3115888,0.1097045,11,Soil carbon isotopes
Kanapoi,Kanapoi Fm,2.33,35.92,4.07,4.17,4.12,0.5037204,0.06984924,8,Soil carbon isotopes
Kantis,Indet.,-1.39,36.72,3.4,3.5,3.45,0.39,0,1,Literature description
Karungu,-,-0.83,34.15,0.035,0.1,0.068,0.05,0,1,Literature description
Kataboi,Nachukui Fm,2.9,36.05,3.44,3.97,3.705,0.5275369,0.0569496,13,Soil carbon isotopes
KBS,Koobi Fora Fm,4,36.37,1.53,1.87,1.7,0.305267,0.1238053,27,Soil carbon isotopes
Kibish IV,Kibish Fm,5,36,0.008,0.012,0.01,0.2,0,1,Literature description
Kiloleli,Wembere-Manonga Fm,-3.8,33.58,4,4.5,4.25,0.4,0,1,Literature description
Konso 1,Konso Fm,5.3,37.4,1.8,1.9,1.85,0.3,0,1,Literature description
Konso 2,Konso Fm,5.3,37.4,1.7,1.8,1.75,0.3,0,1,Literature description
Konso 3,Konso Fm,5.3,37.4,1.5,1.6,1.55,0.2,0,1,Literature description
Konso 4,Konso Fm,5.3,37.4,1.4,1.5,1.45,0.1,0,1,Literature description
Konso 5,Konso Fm,5.3,37.4,1.3,1.4,1.35,0.4,0,1,Literature description
Konso 6,Konso Fm,5.3,37.4,0.7,1.3,1,0.35,0,1,Literature description
Lainyamok,-,-1.79,36.2,0.32,0.39,0.355,0.5,0,1,Literature description
Lee Adoyta,Lee Adoyta Basin,11.4,40.9,2.58,2.67,2.625,0.4,0,1,Literature description
Lokalalei,Nachukui Fm,2.9,36.05,2.33,2.53,2.43,0.4274366,0.1030903,5,Soil carbon isotopes
