TAXON,ORDER,FAMILY,HYP,LOP,AL
Antilocapra americana,Artiodactyla,Antilocapridae,3,2,0
Addax nasomaculatus,Artiodactyla,Bovidae,3,2,0
Aepyceros melampus,Artiodactyla,Bovidae,3,2,0
Alcelaphus buselaphus,Artiodactyla,Bovidae,3,2,0
Alcelaphus caama,Artiodactyla,Bovidae,3,2,0
Alcelaphus lichtensteinii,Artiodactyla,Bovidae,3,2,0
Ammodorcas clarkei,Artiodactyla,Bovidae,3,2,0
Ammotragus lervia,Artiodactyla,Bovidae,3,2,0
Antidorcas marsupialis,Artiodactyla,Bovidae,3,2,0
Antilope cervicapra,Artiodactyla,Bovidae,3,2,0
Beatragus hunteri,Artiodactyla,Bovidae,3,2,0
Bison bison,Artiodactyla,Bovidae,3,2,0
Bison bonasus,Artiodactyla,Bovidae,3,2,0
Bos frontalis,Artiodactyla,Bovidae,3,2,0
Bos grunniens,Artiodactyla,Bovidae,3,2,0
Bos javanicus,Artiodactyla,Bovidae,3,2,0
Bos sauveli,Artiodactyla,Bovidae,3,2,0
Bos taurus,Artiodactyla,Bovidae,3,2,0
Boselaphus tragocamelus,Artiodactyla,Bovidae,3,2,0
Bubalus bubalis,Artiodactyla,Bovidae,3,2,0
Bubalus depressicornis,Artiodactyla,Bovidae,3,2,0
Bubalus mindorensis,Artiodactyla,Bovidae,3,2,0
Bubalus quarlesi,Artiodactyla,Bovidae,3,2,0
Budorcas taxicolor,Artiodactyla,Bovidae,3,2,0
Capra caucasica,Artiodactyla,Bovidae,3,2,0
Capra cylindricornis,Artiodactyla,Bovidae,3,2,0
Capra falconeri,Artiodactyla,Bovidae,3,2,0
Capra hircus,Artiodactyla,Bovidae,3,2,0
Capra ibex,Artiodactyla,Bovidae,3,2,0
Capra nubiana,Artiodactyla,Bovidae,3,2,0
Capra pyrenaica,Artiodactyla,Bovidae,3,2,0
Capra sibirica,Artiodactyla,Bovidae,3,2,0
Capra walie,Artiodactyla,Bovidae,3,2,0
Capricornis crispus,Artiodactyla,Bovidae,3,2,0
Capricornis milneedwardsii,Artiodactyla,Bovidae,3,2,0
Capricornis rubidus,Artiodactyla,Bovidae,3,2,0
Capricornis sumatraensis,Artiodactyla,Bovidae,3,2,0
Capricornis swinhoei,Artiodactyla,Bovidae,2,2,1
Capricornis thar,Artiodactyla,Bovidae,3,2,0
Cephalophus adersi,Artiodactyla,Bovidae,2,2,0
Cephalophus brookei,Artiodactyla,Bovidae,2,2,0
Cephalophus callipygus,Artiodactyla,Bovidae,2,2,0
Cephalophus dorsalis,Artiodactyla,Bovidae,2,2,0
Cephalophus harveyi,Artiodactyla,Bovidae,2,2,0
Cephalophus jentinki,Artiodactyla,Bovidae,2,2,1
Cephalophus leucogaster,Artiodactyla,Bovidae,2,2,0
Cephalophus maxwellii,Artiodactyla,Bovidae,1,2,0
Cephalophus natalensis,Artiodactyla,Bovidae,2,2,1
Cephalophus niger,Artiodactyla,Bovidae,2,2,0
Cephalophus nigrifrons,Artiodactyla,Bovidae,2,2,0
Cephalophus ogilbyi,Artiodactyla,Bovidae,2,2,0
Cephalophus rufilatus,Artiodactyla,Bovidae,2,2,0
Cephalophus silvicultor,Artiodactyla,Bovidae,2,2,0
Cephalophus spadix,Artiodactyla,Bovidae,2,2,0
Cephalophus weynsi,Artiodactyla,Bovidae,2,2,1
Cephalophus zebra,Artiodactyla,Bovidae,2,2,0
Connochaetes gnou,Artiodactyla,Bovidae,3,2,0
Connochaetes taurinus,Artiodactyla,Bovidae,3,2,0
Damaliscus korrigum,Artiodactyla,Bovidae,3,2,0
Damaliscus lunatus,Artiodactyla,Bovidae,3,2,0
Damaliscus pygargus,Artiodactyla,Bovidae,3,2,0
Damaliscus superstes,Artiodactyla,Bovidae,3,2,0
Dorcatragus megalotis,Artiodactyla,Bovidae,3,2,1
Eudorcas rufifrons,Artiodactyla,Bovidae,3,2,1
Eudorcas rufina,Artiodactyla,Bovidae,3,2,0
Eudorcas thomsonii,Artiodactyla,Bovidae,3,2,0
Gazella arabica,Artiodactyla,Bovidae,3,2,0
Gazella bennettii,Artiodactyla,Bovidae,3,2,0
Gazella cuvieri,Artiodactyla,Bovidae,2,2,0
Gazella dorcas,Artiodactyla,Bovidae,3,2,0
Gazella erlangeri,Artiodactyla,Bovidae,3,2,0
Gazella gazella,Artiodactyla,Bovidae,2,2,0
Gazella leptoceros,Artiodactyla,Bovidae,3,2,0
Gazella saudiya,Artiodactyla,Bovidae,3,2,0
Gazella spekei,Artiodactyla,Bovidae,3,2,0
Gazella subgutturosa,Artiodactyla,Bovidae,3,2,0
Hemitragus hylocrius,Artiodactyla,Bovidae,3,2,0
Hemitragus jayakari,Artiodactyla,Bovidae,3,2,0
Hemitragus jemlahicus,Artiodactyla,Bovidae,3,2,0
Hippotragus equinus,Artiodactyla,Bovidae,3,2,0
Hippotragus leucophaeus,Artiodactyla,Bovidae,3,2,0
Hippotragus niger,Artiodactyla,Bovidae,3,2,0
Kobus ellipsiprymnus,Artiodactyla,Bovidae,3,2,0
Kobus kob,Artiodactyla,Bovidae,3,2,0
Kobus leche,Artiodactyla,Bovidae,3,2,0
Kobus megaceros,Artiodactyla,Bovidae,3,2,0
Kobus vardonii,Artiodactyla,Bovidae,3,2,0
Litocranius walleri,Artiodactyla,Bovidae,2,2,0
Madoqua guentheri,Artiodactyla,Bovidae,2,2,0
Madoqua kirkii,Artiodactyla,Bovidae,2,2,0
Madoqua piacentinii,Artiodactyla,Bovidae,2,2,0
Madoqua saltiana,Artiodactyla,Bovidae,2,2,0
Naemorhedus baileyi,Artiodactyla,Bovidae,3,2,0
Naemorhedus caudatus,Artiodactyla,Bovidae,3,2,0
