Site,Code,Latitude,Longitude,FracWoodyCover
Aberdare National Park,ABER,-0.24,36.5,0.741752023
Abijatta-Shalla Lakes National Park,ABI.SHA,7.3,38.3,0.290257529
Abou Telfance Faunal Reserve,ABTL,12.1,18.88,0.354827533
Ai-Ais Hot Spring Game Park,AIHS,-27.91,17.15,0.031504278
Amboseli National Park,AMB,-2.38,37.14,0.111601651
Luiana National Park,ANG,-15.5,15.3,0.501639612
Reserve Temporaire de Faune d'Ansongo-Menaka,ANME,15.55,1.7,0.006901471
Arawale National Reserve,ARAW,-1.43,40.15,0.453516886
Arusha National Park,ARU,-3.25,36.83,0.650769604
Arly Total Faunal Reserve,ATFR,11.56,1.44,0.199229541
Awash National Park,AWA,9.2,40.2,0.29714207
Bale Mountains National Park ,BALE,6.4,39.4,0.669465858
Bangweulu Swamps,BAN,20.23,-16.11,0.487701212
Bahr Salamat Faunal Reserve,BASA,10.59,19.42,0.37433563
Boumba Bek/Neki National Parl,BBN,2.51,14.72,0.87766938
Benoue National Park,BEN,8.36,13.82,0.407360687
Bururi Forest National Reserve,BF,-3.94,29.6,0.787124068
Banhine National Park,BHINE,-22.9,32.86,0.466030036
Bikuar National Park,BIK,-15.28,14.76,0.555342381
Binder Faunal Reserve,BIN,9.63,14.41,0.341697704
Bontioli Total Faunal Reserve,BON,10.86,-3.11,0.371279525
Budongo Forest,BUD,1.73,31.55,0.78282697
Bufalo Partial Reserve,BUF,-12.78,13.81,0.496220375
Chobe National Park,CHO,-18,24.5,0.453099319
Cliffs of Bandiagara,CLB,14.41,-3.4,0.056624217
Campo Ma'an National Park,CMA,2.46,10.3,0.845169695
Conkouati-Douli National Park,CON,-3.9,11.45,0.624325662
Deux Bales ,DEUX,11.59,-2.97,0.389938976
Daan Viljoen Game Park,DVGP,-22.53,16.96,0.205443309
Etosha National Park,ETO,-19,15.75,0.1780285
Garamba National Park,GAR,4.19,29.48,0.506256544
Gishwati Forest Reserve,GISH,-1.75,29.42,0.758587166
Golden Gate National Park,GOLD,-28.3,28.4,0.408589577
Gombe National Park,GOMB,-4.66,29.63,0.564989029
Gorongosa National Park,GOR,-18.83,34.51,0.656533821
Hluhluwe-Imfolozi Game Reserve Complex,HLU,-28.2,31.5,0.747724903
Hwange National Park,HWA,-19.19,26.62,0.522485802
Iona National Park,IONA,-16.5,12.54,0.036847808
Kabore-Tambi National Park,KAB,11.5,-1.25,0.3177513
Kafue Flats,KAFF,-15.5,25.4,0.377236689
Kakamega,KAK,0.3,34.85,0.802415821
Kameia (Cameia) National Park,KAM,-11.85,21.67,0.32549039
Kapama Game Reserve,KAP,-24.3,31,0.478362434
Kasungu National Park,KAS,-12.56,33.84,0.614033343
Kibira National Park,KBIR,-3.6,29.32,0.815193745
Kabalega/Murchison Falls National Park,KFAL,2.25,31.8,0.591840861
Kafue National Park,KFNP,-14.4,26.13,0.500632139
Kibale National Park,KIB,0.53,30.38,0.78988822
